"ID","IdadeResponsavel","RendaAntes","RendaMensal","NumeroFilhos","Vulneravel","EvasaoEscolar","TemInternet","SexoResponsavel","Regiao"
1,54,2386.94,2600,0,"Sim","Sim","Sim","Feminino","Rural"
2,34,1534.68,1700,5,"Não","Sim","Sim","Masculino","Urbana"
3,44,1460.81,1600,3,"Sim","Não","Não","Feminino","Urbana"
4,46,1360.69,1500,2,"Não","Não","Sim","Feminino","Urbana"
5,44,2075.82,2300,4,"Não","Sim","Sim","Feminino","Rural"
6,39,511.45,700,2,"Sim","Não","Sim","Feminino","Urbana"
7,55,2061.47,2300,3,"Não","Não","Sim","Feminino","Urbana"
8,39,677.17,900,4,"Sim","Não","Não","Feminino","Urbana"
9,60,2152.19,2400,4,"Sim","Não","Sim","Masculino","Urbana"
10,39,1453.66,1700,3,"Não","Não","Não","Feminino","Urbana"
11,53,2813.57,3000,0,"Não","Não","Não","Feminino","Urbana"
12,63,686.41,900,1,"Não","Não","Sim","Feminino","Urbana"
13,26,1213.46,1500,1,"Não","Sim","Não","Feminino","Urbana"
14,37,1731.81,2000,3,"Sim","Sim","Não","Feminino","Rural"
15,39,1773.84,2000,4,"Não","Não","Sim","Masculino","Urbana"
16,46,682.67,800,1,"Não","Não","Sim","Feminino","Rural"
17,37,1533.24,1700,2,"Sim","Não","Não","Feminino","Urbana"
18,13,463.65,700,1,"Sim","Não","Não","Feminino","Urbana"
19,16,1997.47,2200,1,"Não","Não","Sim","Masculino","Urbana"
20,53,1135.28,1400,3,"Sim","Não","Sim","Masculino","Urbana"
21,37,1810.18,2100,2,"Sim","Sim","Não","Feminino","Urbana"
22,22,2379.96,2600,4,"Sim","Não","Sim","Feminino","Rural"
23,38,1660.56,1900,6,"Sim","Não","Não","Feminino","Rural"
24,52,2147.31,2400,1,"Sim","Não","Não","Feminino","Urbana"
25,59,1544.04,1700,0,"Não","Não","Não","Feminino","Urbana"
26,36,1526.68,1800,3,"Não","Não","Sim","Masculino","Urbana"
27,37,1897.62,2200,2,"Não","Não","Sim","Feminino","Urbana"
28,22,1556.25,1800,2,"Sim","Sim","Sim","Feminino","Rural"
